Timestamp,X,Y,Z
3.879,1.251,1.395,-0.897
3.988,1.428,1.353,-1.007
4.089,1.533,1.336,-1.074
4.202,1.642,1.350,-1.137
4.314,1.719,1.369,-1.171
4.425,1.758,1.374,-1.183
4.536,1.767,1.370,-1.183
4.648,1.769,1.367,-1.186
4.759,1.775,1.356,-1.203
4.870,1.783,1.345,-1.231
4.981,1.791,1.340,-1.252
5.093,1.797,1.336,-1.267
5.204,1.801,1.335,-1.271
5.316,1.792,1.341,-1.253
5.426,1.751,1.360,-1.211
5.536,1.682,1.385,-1.166
5.647,1.593,1.404,-1.131
5.758,1.490,1.418,-1.102
5.869,1.381,1.420,-1.079
5.980,1.273,1.419,-1.055
6.090,1.181,1.413,-1.035
6.202,1.111,1.412,-1.013
6.313,1.043,1.393,-0.979
6.424,0.984,1.371,-0.928
6.535,0.931,1.351,-0.853
6.646,0.877,1.329,-0.760
6.757,0.828,1.340,-0.664
6.868,0.771,1.362,-0.586
6.979,0.717,1.366,-0.523
7.090,0.652,1.351,-0.457
7.201,0.578,1.330,-0.396
7.312,0.496,1.332,-0.328
7.424,0.428,1.346,-0.265
7.534,0.375,1.357,-0.204
7.645,0.323,1.356,-0.146
7.757,0.280,1.350,-0.082
7.867,0.246,1.356,-0.006
7.978,0.210,1.374,0.060
8.090,0.167,1.385,0.106
8.201,0.118,1.382,0.143
8.312,0.072,1.371,0.172
8.423,0.025,1.356,0.186
8.535,-0.013,1.343,0.196
8.646,-0.032,1.335,0.200
8.757,-0.036,1.330,0.195
8.868,-0.028,1.327,0.188
8.980,-0.012,1.330,0.169
9.090,0.006,1.334,0.141
9.201,0.010,1.348,0.109
9.312,0.004,1.363,0.067
9.423,-0.009,1.376,0.024
9.535,-0.031,1.385,-0.023
9.646,-0.046,1.390,-0.061
9.758,-0.055,1.396,-0.090
9.868,-0.052,1.398,-0.112
9.980,-0.046,1.409,-0.120
10.091,-0.040,1.419,-0.126
10.202,-0.042,1.425,-0.133
10.313,-0.049,1.430,-0.139
10.425,-0.049,1.435,-0.142
10.537,-0.046,1.436,-0.142
10.647,-0.043,1.435,-0.136
10.758,-0.041,1.432,-0.126
10.869,-0.043,1.427,-0.120
10.980,-0.044,1.422,-0.118
11.091,-0.044,1.415,-0.118
11.202,-0.042,1.411,-0.113
11.313,-0.035,1.416,-0.108
11.424,-0.019,1.429,-0.108
11.535,0.005,1.445,-0.122
11.647,0.022,1.450,-0.140
11.758,0.029,1.451,-0.146
11.867,0.027,1.449,-0.143
11.978,0.017,1.447,-0.139
12.089,0.014,1.448,-0.137
12.200,0.019,1.450,-0.134
12.311,0.021,1.450,-0.132
12.423,0.024,1.450,-0.130
12.534,0.026,1.451,-0.129
12.645,0.026,1.451,-0.129
12.756,0.029,1.454,-0.130
12.868,0.032,1.455,-0.131
12.978,0.034,1.455,-0.131
13.089,0.035,1.456,-0.131
13.201,0.037,1.457,-0.131
13.312,0.038,1.455,-0.130
13.424,0.040,1.452,-0.128
13.534,0.040,1.451,-0.126
13.646,0.040,1.450,-0.125
13.757,0.039,1.450,-0.125
13.867,0.039,1.451,-0.124
13.979,0.038,1.453,-0.123
14.090,0.038,1.455,-0.122
14.201,0.038,1.457,-0.122
14.314,0.039,1.459,-0.122
14.423,0.040,1.461,-0.123
14.534,0.040,1.461,-0.123
14.645,0.041,1.460,-0.122
14.756,0.000,1.460,0.000
14.868,0.000,1.460,0.001
14.979,0.001,1.460,0.002
15.090,0.001,1.460,0.006
15.201,-0.005,1.450,0.020
15.313,-0.009,1.426,0.036
15.424,-0.005,1.401,0.042
15.535,0.002,1.389,0.047
15.646,0.012,1.382,0.055
15.758,0.021,1.382,0.063
15.869,0.025,1.389,0.059
15.980,0.029,1.397,0.056
16.091,0.033,1.402,0.053
16.202,0.036,1.404,0.048
16.313,0.037,1.403,0.044
16.424,0.036,1.402,0.042
