Timestamp,EventName,X,Y,Z
4.184,HMD_Tracking,-0.168,1.538,0.167
4.298,HMD_Tracking,-0.143,1.541,0.169
4.409,HMD_Tracking,-0.126,1.547,0.169
4.520,HMD_Tracking,-0.110,1.555,0.166
4.632,HMD_Tracking,-0.094,1.567,0.155
4.734,HMD_Tracking,-0.081,1.585,0.138
4.845,HMD_Tracking,-0.060,1.598,0.111
4.957,HMD_Tracking,-0.037,1.595,0.083
5.068,HMD_Tracking,-0.014,1.586,0.061
5.180,HMD_Tracking,0.003,1.587,0.052
5.293,HMD_Tracking,0.019,1.584,0.054
5.405,HMD_Tracking,0.028,1.586,0.062
5.516,HMD_Tracking,0.030,1.590,0.073
5.627,HMD_Tracking,0.026,1.597,0.083
5.738,HMD_Tracking,0.018,1.602,0.094
5.848,HMD_Tracking,0.011,1.602,0.106
5.960,HMD_Tracking,0.007,1.597,0.114
6.071,HMD_Tracking,0.005,1.595,0.120
6.183,HMD_Tracking,0.006,1.596,0.125
6.294,HMD_Tracking,0.006,1.597,0.125
6.405,HMD_Tracking,0.007,1.601,0.124
6.512,HMD_Tracking,0.008,1.603,0.124
6.624,HMD_Tracking,0.009,1.602,0.128
6.733,HMD_Tracking,0.012,1.602,0.133
6.838,HMD_Tracking,0.019,1.601,0.137
6.950,HMD_Tracking,0.026,1.600,0.139
7.060,HMD_Tracking,0.032,1.605,0.139
7.170,HMD_Tracking,0.037,1.607,0.140
7.283,HMD_Tracking,0.040,1.605,0.138
7.399,HMD_Tracking,0.040,1.603,0.136
7.504,HMD_Tracking,0.039,1.605,0.134
7.614,HMD_Tracking,0.037,1.606,0.132
7.720,HMD_Tracking,0.037,1.603,0.134
7.832,HMD_Tracking,0.040,1.596,0.137
7.946,HMD_Tracking,0.047,1.589,0.137
8.057,HMD_Tracking,0.059,1.581,0.136
8.168,HMD_Tracking,0.068,1.575,0.138
8.280,HMD_Tracking,0.072,1.573,0.140
8.390,HMD_Tracking,0.073,1.572,0.142
8.502,HMD_Tracking,0.071,1.575,0.142
8.614,HMD_Tracking,0.069,1.581,0.137
8.725,HMD_Tracking,0.066,1.592,0.129
