Timestamp,X,Y,Z
4.072,0.036,1.448,0.009
4.188,0.037,1.450,0.008
4.294,0.038,1.450,0.005
4.406,0.039,1.449,0.005
4.519,0.038,1.447,0.006
4.629,0.038,1.444,0.007
4.741,0.038,1.442,0.010
4.852,0.038,1.439,0.013
4.963,0.038,1.431,0.021
5.074,0.038,1.416,0.031
5.185,0.035,1.398,0.047
5.296,0.035,1.385,0.061
5.408,0.035,1.378,0.072
5.519,0.036,1.372,0.080
5.630,0.034,1.367,0.103
5.741,0.032,1.364,0.169
5.852,0.015,1.334,0.239
5.964,-0.006,1.236,0.233
6.075,-0.011,1.106,0.191
6.187,-0.022,1.048,0.142
6.298,-0.042,1.060,0.108
6.409,-0.057,1.077,0.123
6.520,-0.069,1.123,0.176
6.631,-0.075,1.136,0.228
6.743,-0.074,1.120,0.265
6.854,-0.078,1.117,0.279
6.965,-0.089,1.116,0.278
7.076,-0.099,1.112,0.268
7.187,-0.110,1.101,0.260
7.299,-0.122,1.101,0.259
7.410,-0.132,1.103,0.260
7.521,-0.140,1.098,0.258
7.634,-0.148,1.096,0.249
7.745,-0.164,1.086,0.236
7.856,-0.180,1.078,0.221
7.968,-0.194,1.078,0.203
8.079,-0.201,1.080,0.189
8.190,-0.206,1.087,0.181
8.301,-0.205,1.095,0.176
8.412,-0.204,1.108,0.170
8.523,-0.204,1.122,0.164
8.634,-0.202,1.136,0.157
8.746,-0.199,1.147,0.151
8.857,-0.190,1.159,0.146
8.968,-0.177,1.169,0.142
9.079,-0.160,1.171,0.143
9.191,-0.148,1.172,0.146
9.303,-0.140,1.172,0.146
9.413,-0.131,1.169,0.142
9.525,-0.127,1.165,0.136
9.635,-0.123,1.159,0.131
9.747,-0.129,1.151,0.131
9.858,-0.143,1.161,0.128
9.969,-0.159,1.171,0.126
10.080,-0.184,1.182,0.128
10.191,-0.221,1.196,0.133
10.302,-0.273,1.219,0.126
10.414,-0.336,1.254,0.111
10.524,-0.394,1.307,0.089
10.635,-0.444,1.371,0.071
10.748,-0.486,1.443,0.045
10.858,-0.521,1.510,0.015
10.969,-0.544,1.551,-0.005
11.080,-0.556,1.566,-0.022
11.190,-0.559,1.568,-0.031
11.302,-0.558,1.567,-0.035
11.413,-0.558,1.563,-0.040
11.525,-0.556,1.562,-0.045
11.636,-0.558,1.558,-0.050
11.747,-0.559,1.555,-0.055
11.858,-0.563,1.551,-0.059
11.969,-0.562,1.550,-0.061
12.080,-0.563,1.550,-0.064
12.191,-0.564,1.549,-0.066
12.302,-0.568,1.547,-0.068
12.414,-0.571,1.547,-0.067
12.525,-0.574,1.547,-0.067
12.637,-0.577,1.551,-0.068
12.748,-0.581,1.559,-0.068
12.859,-0.586,1.567,-0.068
12.971,-0.593,1.568,-0.067
13.082,-0.600,1.568,-0.068
13.193,-0.606,1.568,-0.070
13.304,-0.608,1.569,-0.070
13.416,-0.610,1.569,-0.070
